data_path,Datasets_concept_drift/synthetic_data/gradual_drift/agraw1_1_gradual_drift_0_noise_balanced_10.arff
encoding,exclude
fpr_mean,0.0
fpr_se,0.0
latency_mean,0.25
latency_se,0.0
num_runs,10
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
False,False,False,True,True,True,True
